millis,stamp,datetime,soil_moisture
10758999, 1566594420, 2019/8/23 21:7:0, 650
10788999, 1566594450, 2019/8/23 21:7:30, 649
10819000, 1566594480, 2019/8/23 21:8:0, 648
10848999, 1566594510, 2019/8/23 21:8:30, 648
10878998, 1566594540, 2019/8/23 21:9:0, 647
10908998, 1566594570, 2019/8/23 21:9:30, 649
10938999, 1566594600, 2019/8/23 21:10:0, 650
10968999, 1566594630, 2019/8/23 21:10:30, 650
10999000, 1566594660, 2019/8/23 21:11:0, 651
11029000, 1566594690, 2019/8/23 21:11:30, 653
11059000, 1566594720, 2019/8/23 21:12:0, 654
11088999, 1566594750, 2019/8/23 21:12:30, 655
11118999, 1566594780, 2019/8/23 21:13:0, 655
11148999, 1566594810, 2019/8/23 21:13:30, 656
11178999, 1566594840, 2019/8/23 21:14:0, 657
11208999, 1566594870, 2019/8/23 21:14:30, 657
11239000, 1566594900, 2019/8/23 21:15:0, 658
11269000, 1566594930, 2019/8/23 21:15:30, 659
11298999, 1566594960, 2019/8/23 21:16:0, 659
11328998, 1566594990, 2019/8/23 21:16:30, 660
11358998, 1566595020, 2019/8/23 21:17:0, 661
11388998, 1566595050, 2019/8/23 21:17:30, 661
11418999, 1566595080, 2019/8/23 21:18:0, 661
11448999, 1566595110, 2019/8/23 21:18:30, 662
11479000, 1566595140, 2019/8/23 21:19:0, 663
11509000, 1566595170, 2019/8/23 21:19:30, 662
11539000, 1566595200, 2019/8/23 21:20:0, 664
11568999, 1566595230, 2019/8/23 21:20:30, 664
11598999, 1566595260, 2019/8/23 21:21:0, 666
11628999, 1566595290, 2019/8/23 21:21:30, 668
11658999, 1566595320, 2019/8/23 21:22:0, 666
11688999, 1566595350, 2019/8/23 21:22:30, 667
11719000, 1566595380, 2019/8/23 21:23:0, 667
11749000, 1566595410, 2019/8/23 21:23:30, 666
11778999, 1566595440, 2019/8/23 21:24:0, 668
11808999, 1566595470, 2019/8/23 21:24:30, 668
11838998, 1566595500, 2019/8/23 21:25:0, 668
11868998, 1566595530, 2019/8/23 21:25:30, 669
11898999, 1566595560, 2019/8/23 21:26:0, 669
11928998, 1566595590, 2019/8/23 21:26:30, 670
11959000, 1566595620, 2019/8/23 21:27:0, 669
11989000, 1566595650, 2019/8/23 21:27:30, 670
12019000, 1566595680, 2019/8/23 21:28:0, 663
12048999, 1566595710, 2019/8/23 21:28:30, 670
12078999, 1566595740, 2019/8/23 21:29:0, 671
12108999, 1566595770, 2019/8/23 21:29:30, 671
12138999, 1566595800, 2019/8/23 21:30:0, 672
12168999, 1566595830, 2019/8/23 21:30:30, 672
12182999, 1566595845, 2019/8/23 21:30:45, 672
12212999, 1566595875, 2019/8/23 21:31:15, 672
12242999, 1566595905, 2019/8/23 21:31:45, 672
12272999, 1566595935, 2019/8/23 21:32:15, 673
12302999, 1566595965, 2019/8/23 21:32:45, 672
12332999, 1566595995, 2019/8/23 21:33:15, 672
12362999, 1566596025, 2019/8/23 21:33:45, 673
12392999, 1566596055, 2019/8/23 21:34:15, 674
12423000, 1566596085, 2019/8/23 21:34:45, 673
12453000, 1566596115, 2019/8/23 21:35:15, 673
12483000, 1566596145, 2019/8/23 21:35:45, 674
12512999, 1566596175, 2019/8/23 21:36:15, 674
